VENDOR NAME,EXPENSE CATEGORY,PAYMENT AMOUNT,PAYMENT DATE
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,84721.63,2/3/22
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,28067.27,2/3/22
"GUARDIAN INDUSTRIAL SUPPLY, LLC",DIRECT PURCHASES,4129.5,3/24/22
G.A.G. INDUSTRIES CORP.,MAINTENANCE & REPAIRS,57246.01,2/15/22
5366 LOGISTICS CORP,DIRECT PURCHASES,1611.7,3/31/22
PNC BANK,ADVERTISING & PROMOTION,1997.25,9/15/22
ILLINOIS ENVIRONMENTAL PROTECTION AGENCY,MAINTENANCE & REPAIRS,1000,4/7/22
IAP CONSTRUCTION INC.,CONTRACTUAL SERVICES,3687.5,5/19/22
"MIDWAY OVERHEAD DOOR, INC.",MAINTENANCE & REPAIRS,30780,3/31/22
"CROWE, LLP",FINANCIAL & TREAS SVCS,22000,12/15/22
"COLONIAL OIL INDUSTRIES, INC.",DIRECT PURCHASES,93695.36,1/3/22
"SAFETY KLEEN SYSTEMS, INC.",MAINTENANCE & REPAIRS,1718.02,11/3/22
RAMSEN YOUKHANA,LEGAL COSTS,75,5/12/22
JOHNSON CONTROLS FIRE PROTECTION LP,MAINTENANCE & REPAIRS,2930.36,8/25/22
"GENFARE, A DIVISION OF SPX CORPORATION",GENERAL EXPENSES,11.3,2/1/22
COMTO NATIONAL HEADQUARTERS,GENERAL EXPENSES,125,2/17/22
GENUINE PARTS COMPANY (NAPA),ADVERTISING & PROMOTION,33.9,2/15/22
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,8142,1/13/22
"OER SERVICES, LLC",MAINTENANCE & REPAIRS,512,1/5/22
"PATCO INDUSTRIES, INC.",MAINTENANCE & REPAIRS,31424.85,4/28/22
"CUBIC TRANSPORTATION SYSTEMS, INC.",DIRECT PURCHASES,189465.29,7/21/22
"AMERESCO, INC.",CONSULTING,14730,4/28/22
INSIGHT PUBLIC SECTOR,TECHNOLOGY SERVICES,29340,3/24/22
"CLEVER DEVICES, LTD",MAINTENANCE & REPAIRS,422037.65,9/13/22
"*ALVAREZ, INC.",MAINTENANCE & REPAIRS,5618.97,8/30/22
*CityEscape Garden & Design,MAINTENANCE & REPAIRS,5817.07,7/21/22
VILLAGE OF SKOKIE.,UTILITIES EXPENSE,45.46,10/17/22
METROPOLITAN WATER RECLAMATION..,UTILITIES EXPENSE,32776.87,3/3/22
JACKSON LEWIS PC,LEGAL COSTS,44856,1/19/22
"LANER, MUCHIN, DOMBROW, BECKER,",LEGAL COSTS,840,4/19/22
VILLAGE OF OAK PARK UTILITIES,UTILITIES EXPENSE,591.25,11/3/22
RUSSELL R. ROGERS,CONTRACTUAL SERVICES,11250,12/29/22
"*PF APPRAISALS, INC. dba PRAEDIUM VALUATION GROUP, INC.",LEGAL COSTS,2650,4/28/22
"RADICOM, INC.",MAINTENANCE & REPAIRS,10425,1/25/22
METROPOLITAN WATER RECLAMATION.,EQUIPMENT RENTAL,101624.9,1/20/22
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40,9/22/22
EHC CANADA INC. d/b/a EHC GLOBAL,DIRECT PURCHASES,1850,10/20/22
"MYERS SERVICE, INC.",LEGAL COSTS,396,10/6/22
LAWANNA JOHNSON,LEGAL COSTS,75,3/31/22
Carahsoft Technology Corporation,ADVERTISING & PROMOTION,14533.79,8/16/22
"ICE MILLER, LLP",LEGAL COSTS,2500,8/25/22
"JONES LANG LaSALLE, INCORPORATED",CONSULTING,6757.58,6/21/22
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50,5/19/22
"*SILK SCREEN EXPRESS, INC..",GENERAL EXPENSES,75603.52,1/3/22
"J2 CLOUD SERVICES, LLC.",CONTRACTUAL SERVICES,149.5,2/17/22
MALCOLM X COLLEGE,TRAVEL & MEETING EXPENSE,508,6/16/22
LATHROP GAGE LLP,LEGAL COSTS,305,5/5/22
"COMET MESSENGER SERVICE, INC.",CONTRACTUAL SERVICES,48.75,4/7/22
NIKKI HALE CONSULTING INC,CONTRACTUAL SERVICES,4250,7/29/22
RICHARD M STANTON,LEGAL COSTS,400,7/29/22
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50,11/17/22
"VERITEXT, LLC",LEGAL COSTS,382.5,8/4/22
*CityEscape Garden & Design,MAINTENANCE & REPAIRS,12956.18,9/29/22
BALOUGH LAW OFFICES LLC,LEGAL COSTS,9585.5,12/22/22
"ICE MILLER, LLP",LEGAL COSTS,354,10/17/22
"*FIRECO, INC.",MAINTENANCE & REPAIRS,7121.74,9/15/22
BIOMETRIC IMPRESSIONS CORP,GENERAL EXPENSES,735,6/9/22
INVANTAGE ADVISING,ADMINISTRATION & HR,1500,3/14/22
COMPUTER AID INC,TECHNOLOGY SERVICES,2640,5/12/22
"Atalian US Midwest, LLC",MAINTENANCE & REPAIRS,188472.32,8/9/22
"JONES LANG LaSALLE, INCORPORATED",MAINTENANCE & REPAIRS,219896.06,2/10/22
CINTAS CORPORATION,CONTRACTUAL SERVICES,26771.95,2/1/22
IAP CONSTRUCTION INC.,CONTRACTUAL SERVICES,5827.5,6/10/22
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,267025.43,8/4/22
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,22394.01,3/3/22
"Atalian US Midwest, LLC",MAINTENANCE & REPAIRS,94236.16,1/25/22
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,20946.1,12/29/22
"ARAMARK UNIFORM SERVICES, INC.",GENERAL EXPENSES,448.73,2/24/22
CINTAS CORPORATION,CONTRACTUAL SERVICES,13933.91,3/31/22
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50,7/14/22
*SOUTH SUBURBAN PEST CONTROL,MAINTENANCE & REPAIRS,10934.5,4/14/22
STENSTROM PROTANIC LLC.,MAINTENANCE & REPAIRS,7051.13,4/12/22
"Atalian US Midwest, LLC",MAINTENANCE & REPAIRS,47118.08,6/2/22
Konecranes,MAINTENANCE & REPAIRS,14464.98,10/17/22
SADE HOGAN,CONTRACTUAL SERVICES,50,10/27/22
SDI PRESENCE LLC,TECHNOLOGY SERVICES,305779,4/28/22
LORCHEM TECHNOLOGIES INC,MAINTENANCE & REPAIRS,1956.85,5/26/22
LORCHEM TECHNOLOGIES INC,MAINTENANCE & REPAIRS,976.95,7/21/22
"GARDA CL GREAT LAKES, INC.",FINANCIAL & TREAS SVCS,17787,9/8/22
SAFETY VISION LLC,FINANCIAL & TREAS SVCS,23523.5,5/31/22
Konecranes,MAINTENANCE & REPAIRS,1417.5,3/24/22
GENUINE PARTS COMPANY (NAPA),CONTRACTUAL SERVICES,517.95,3/29/22
*H and D Landscaping and Tree Removal LLC,CONTRACTUAL SERVICES,5852.16,3/3/22
"AT&T MOBILITY NATIONAL ACCOUNTS, LLC",UTILITIES EXPENSE,81058.53,4/4/22
CLAREMONT LLC,CONTRACTUAL SERVICES,2737.75,10/6/22
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,84551.3,6/2/22
EXHIBIT 5,LEGAL COSTS,178.2,10/19/22
"INTER-CON SECURITY SYSTEMS, INC",PURCHASE OF SECURITY SERVICES,465351.63,9/13/22
CAUSLEY COURT REPORTING CSR,LEGAL COSTS,1130,8/11/22
JACKSON LEWIS PC,LEGAL COSTS,9996,6/9/22
FORESIGHT RECONSTRUCTION INC,CONTRACTUAL SERVICES,11618.75,12/22/22
"ORACLE AMERICA, INC.",MAINTENANCE & REPAIRS,540698.82,10/27/22
"REALINFO, LLC",TECHNOLOGY SERVICES,6480,12/29/22
CMM Calibration And Services,DIRECT PURCHASES,1725,9/22/22
"HEYL, ROYSTER, VOELKER & ALLEN P.C.",LEGAL COSTS,182,8/18/22
ROSEMONT PUBLIC WORKS,UTILITIES EXPENSE,19.22,2/17/22
"ARAMARK UNIFORM SERVICES, INC.",GENERAL EXPENSES,88.2,3/29/22
LEXIS NEXIS CO.,CONTRACTUAL SERVICES,6000,12/29/22
CITY OF CHICAGO-DEPT OF WATER,UTILITIES EXPENSE,10478.48,1/18/22
ANDERSON ELEVATOR CO.,MAINTENANCE & REPAIRS,400290.25,9/1/22
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,650,2/17/22
*MOBILE HEALTH & TESTING SERVICES,ADMINISTRATION & HR,33067.5,2/3/22
LEAH WARGOLET,ADMINISTRATION & HR,125,7/14/22
PROCESS ELECTRONICS CORP,MAINTENANCE & REPAIRS,2500,4/21/22
"INTERSTATE POWER SYSTEMS, INC.",MAINTENANCE & REPAIRS,547.23,3/24/22
VILLAGE OF RIVER GROVE,UTILITIES EXPENSE,49.72,5/19/22
*MOBILE HEALTH & TESTING SERVICES,ADMINISTRATION & HR,59747.8,4/21/22
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,1566.25,3/24/22
CUMMINS INC.,MAINTENANCE & REPAIRS,610.8,5/24/22
FOREST PARK POLICE DEPT.,PURCHASE OF SECURITY SERVICES,3556.71,3/10/22
"CONSTELLATION NEW ENERGY GAS DIVISION, LLC",UTILITIES EXPENSE,234613.18,1/5/22
"STANTON MECHANICAL, INC.",MAINTENANCE & REPAIRS,5191,12/6/22
MAX FITZGERALD,ADMINISTRATION & HR,375,2/17/22
"*MOTR GRAFX, LLC",ADVERTISING & PROMOTION,2216,5/5/22
NORTHWESTERN MEDICINE REGIONAL MEDICAL GROUP,ADMINISTRATION & HR,1000,10/6/22
"CUBIC TRANSPORTATION SYSTEMS, INC.",DIRECT PURCHASES,196717.6,1/10/22
NEAL & LEROY L.L.C.,LEGAL COSTS,894,3/29/22
NADER DAHDALEH,ADMINISTRATION & HR,250,8/18/22
AN EXECUTIVE DECISION,GENERAL EXPENSES,554.69,1/27/22
"*ANZY SUPPLY, INC.",MAINTENANCE & REPAIRS,81.42,3/31/22
ROBERT A BAADE PHD,ADMINISTRATION & HR,1725,7/21/22
CDW GOVERNMENT LLC,TECHNOLOGY SERVICES,39410,7/5/22
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40,12/22/22
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,80,1/27/22
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,1467,7/7/22
Vincent R Williams & Associates P.C.,CONTRACTUAL SERVICES,6000,10/31/22
"*MOTR GRAFX, LLC",GENERAL EXPENSES,6496,6/2/22
AT & T CORP,UTILITIES EXPENSE,7403.96,1/6/22
TOWN OF CICERO,UTILITIES EXPENSE,845.66,8/25/22
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,2718.91,4/21/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,929.9,10/27/22
"ASKREPLY, INC.",TECHNOLOGY SERVICES,59570,8/16/22
TRESCAL INC,MAINTENANCE & REPAIRS,112.36,10/25/22
BRIDGES COURT REPORTING,LEGAL COSTS,154.8,4/7/22
ZUBER LAWLER LLP,LEGAL COSTS,198.5,9/1/22
STAPLES ADVANTAGE,DIRECT PURCHASES,32310.08,12/29/22
"WISCO, INC.",MAINTENANCE & REPAIRS,4014.25,3/10/22
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,24535.29,12/29/22
STENSTROM PROTANIC LLC.,MAINTENANCE & REPAIRS,31404.89,5/3/22
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,321154.72,10/27/22
"LAW BULLETIN PUBLISHING CO, INC.",FINANCIAL & TREAS SVCS,10025,12/7/22
Vincent R Williams & Associates P.C.,CONTRACTUAL SERVICES,6000,2/3/22
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,21205,1/3/22
"AT&T MOBILITY NATIONAL ACCOUNTS, LLC",UTILITIES EXPENSE,1837.5,8/4/22
STENSTROM PROTANIC LLC.,MAINTENANCE & REPAIRS,706.96,8/16/22
"WISCO, INC.",DIRECT PURCHASES,563.4,3/31/22
"CUBIC TRANSPORTATION SYSTEMS, INC.",DIRECT PURCHASES,188474.96,11/15/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,3405.42,5/5/22
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,7864.57,11/15/22
PNC BANK,GENERAL EXPENSES,357,3/18/22
"SPRINT SOLUTIONS, INC.",UTILITIES EXPENSE,66235.67,4/5/22
UNIVERSITY OF ILLINOIS (UIC),CONTRACTUAL SERVICES,1000,4/21/22
"OER SERVICES, LLC",MAINTENANCE & REPAIRS,2093.64,10/17/22
POINT OF DIFFERENCE STRATEGIES,CONTRACTUAL SERVICES,18000,10/17/22
"SNOW SYSTEMS, INC",MAINTENANCE & REPAIRS,77234,3/3/22
Whelan Security of IL dba GardaWorld,PURCHASE OF SECURITY SERVICES,272650.21,4/28/22
"WISCO, INC.",DIRECT PURCHASES,622.92,2/17/22
"OER SERVICES, LLC",MAINTENANCE & REPAIRS,1722,7/7/22
"AT&T MOBILITY NATIONAL ACCOUNTS, LLC",UTILITIES EXPENSE,1516.74,1/13/22
BLAZEN ILLUMINATIONS LLC,CONTRACTUAL SERVICES,1500,1/5/22
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",PURCHASE OF SECURITY SERVICES,48451.05,7/14/22
FOREST PARK POLICE DEPT.,PURCHASE OF SECURITY SERVICES,609.72,6/9/22
EHC CANADA INC. d/b/a EHC GLOBAL,DIRECT PURCHASES,7256.87,10/27/22
"KOPICO, INC.",DIRECT PURCHASES,460,2/24/22
"*MOTR GRAFX, LLC",ADVERTISING & PROMOTION,2146,9/8/22
ANDERSON ELEVATOR CO.,MAINTENANCE & REPAIRS,413250.53,9/29/22
CDM SMITH INC.,CONTRACTUAL SERVICES,20275,5/19/22
"INTER-CON SECURITY SYSTEMS, INC",PURCHASE OF SECURITY SERVICES,490491.09,12/15/22
"PRISM PACKAGING CONSULTANTS, LLC.",MAINTENANCE & REPAIRS,373.75,12/13/22
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,80,7/21/22
VTECH SOLUTION INC,GENERAL EXPENSES,3651.9,9/8/22
CLAREMONT LLC,CONTRACTUAL SERVICES,2726,11/3/22
US BANK,FINANCIAL & TREAS SVCS,5500,6/16/22
"J&S POWER SOLUTIONS, INC",MAINTENANCE & REPAIRS,5950,9/8/22
DIRECT ENERGY BUSINESS LLC,UTILITIES EXPENSE,8015.34,10/27/22
PACE SUBURBAN BUS SERVICE,DIRECT PURCHASES,28566,5/19/22
CINTAS CORPORATION,DIRECT PURCHASES,23.12,2/24/22
SERVICE SANITATION INC,MAINTENANCE & REPAIRS,653,3/22/22
JACKSON LEWIS PC,LEGAL COSTS,14458,2/15/22
MP2 ENERGY NE LLC,UTILITIES EXPENSE,503179.69,5/3/22
TAFT STETTINIUS & HOLLISTER LLP,LEGAL COSTS,688.04,2/24/22
"ALERE TOXICOLOGY SERVICES, INC.",ADMINISTRATION & HR,6559.05,1/27/22
GRE-GOCO ORRINGTON OWNER LLC,EQUIPMENT RENTAL,1070.87,7/29/22
"ORACLE AMERICA, INC.",MAINTENANCE & REPAIRS,45900,8/2/22
"OER SERVICES, LLC",EQUIPMENT RENTAL,6571,4/21/22
Michael Best Strategies,CONTRACTUAL SERVICES,6000,1/6/22
CITY OF EVANSTON,UTILITIES EXPENSE,425.03,10/6/22
"INTER-CON SECURITY SYSTEMS, INC",PURCHASE OF SECURITY SERVICES,413139.6,11/3/22
JLM ABUNDANT LIFE COMMUNITY CENTER,TRAVEL & MEETING EXPENSE,750,2/24/22
GENUINE PARTS COMPANY (NAPA),ADVERTISING & PROMOTION,72.64,3/8/22
"ARAMARK UNIFORM SERVICES, INC.",GENERAL EXPENSES,21.6,3/10/22
"THOMAS J. WALSH CONSULTING, LLC",CONTRACTUAL SERVICES,6000,12/6/22
CUMMINS INC.,MAINTENANCE & REPAIRS,610.8,12/15/22
LATHROP GAGE LLP,LEGAL COSTS,714,11/17/22
"WEST PUBLISHING CORPORATION d/b/a THOMSON WEST, WEST GROUP OR WEST",GENERAL EXPENSES,1357.4,9/29/22
"CONCARE, INC.",MAINTENANCE & REPAIRS,12488.88,12/1/22
ANCEL GLINK P.C.,LEGAL COSTS,9281,1/13/22
"AT&T MOBILITY NATIONAL ACCOUNTS, LLC",UTILITIES EXPENSE,455,11/22/22
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,15217.1,4/12/22
SEAN SALEHI M.D.,ADMINISTRATION & HR,1800,9/8/22
STENSTROM PROTANIC LLC.,MAINTENANCE & REPAIRS,18600,9/27/22
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,255753.14,6/16/22
"THE MCS GROUP, INC.",ADMINISTRATION & HR,1801.05,12/29/22
STENSTROM PROTANIC LLC.,MAINTENANCE & REPAIRS,45415.77,1/27/22
CINTAS CORPORATION,MAINTENANCE & REPAIRS,4114.64,2/24/22
PNC BANK,TRAVEL & MEETING EXPENSE,1342.38,4/15/22
"MCCORKLE LITIGATION SERVICES, INC",GENERAL EXPENSES,896.45,7/5/22
PNC BANK,ADVERTISING & PROMOTION,1794.31,6/15/22
VILLAGE OF ROSEMONT,UTILITIES EXPENSE,16.86,6/23/22
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,1040,7/7/22
SIEVERT ELECTRIC SERVICE & SALES,MAINTENANCE & REPAIRS,2832,9/15/22
"AMERICAN BUILDING SERVICES, LLC (M-D BUILDING MATERIALS)",DIRECT PURCHASES,19311.89,8/16/22
"OER SERVICES, LLC",CONTRACTUAL SERVICES,454,12/27/22
ALLIANT INSURANCE SERVICES (DRIVER ALLIANT),INSURANCE,28577,2/3/22
AT & T CORP,UTILITIES EXPENSE,658095.72,10/20/22
COMTO NATIONAL HEADQUARTERS,GENERAL EXPENSES,125,2/17/22
TOMPKINS PRINTING EQUIPMENT CO.,MAINTENANCE & REPAIRS,2307.98,8/31/22
"OER SERVICES, LLC",MAINTENANCE & REPAIRS,2263.86,4/7/22
SIEVERT ELECTRIC SERVICE & SALES,MAINTENANCE & REPAIRS,21018,10/6/22
"IMPERIAL CRANE SERVICES, INC.",EQUIPMENT RENTAL,4675,4/19/22
"*ANCHOR STAFFING, INC.",TECHNOLOGY SERVICES,1661.6,11/10/22
"108 NORTH STATE ST. (CHICAGO) OWNER,LLC",FACILITY RENTAL,28800,2/10/22
CITY OF CHICAGO-DEPT OF WATER,UTILITIES EXPENSE,18665.1,4/7/22
XEROX CORPORATION /XEROX CTR,MAINTENANCE & REPAIRS,36962.21,12/29/22
"OER SERVICES, LLC",EQUIPMENT RENTAL,22144,6/14/22
JACKSON LEWIS PC,LEGAL COSTS,84,5/17/22
"ALERE TOXICOLOGY SERVICES, INC.",ADMINISTRATION & HR,12736.79,11/3/22
MITCHELL FOOT AND ANKLE,ADMINISTRATION & HR,187.5,10/6/22
"*BOYE JANITORIAL SERVICE, INC.",MAINTENANCE & REPAIRS,17629.75,5/17/22
"SVANACO, INC.",TECHNOLOGY SERVICES,27975,6/23/22
CUMMINS INC.,MAINTENANCE & REPAIRS,427.56,5/19/22
*CHICAGO PESTS LLC,MAINTENANCE & REPAIRS,176,7/7/22
"JCDECAUX CHICAGO, LLC",MAINTENANCE & REPAIRS,108792,6/23/22
"AMERESCO, INC.",CONSULTING,14730,11/15/22
"COLONIAL OIL INDUSTRIES, INC.",DIRECT PURCHASES,109696.55,9/8/22
CITY OF CHICAGO-DEPT OF FLEET AND FACILITY  MGMT,DIRECT PURCHASES,4525.05,9/29/22
PLANET DEPOS LLC,LEGAL COSTS,420,12/8/22
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,80,2/10/22
Jamil Fatti,CONTRACTUAL SERVICES,902.53,5/12/22
EVANSTON POLICE DEPARTMENT/CITY OF EVANSTON,PURCHASE OF SECURITY SERVICES,17444.33,2/10/22
SALVADOR J. VEGA,CONTRACTUAL SERVICES,3000,5/19/22
QUESTIONMARK CORPORATION,TECHNOLOGY SERVICES,28750,7/7/22
VILLAGE OF SKOKIE.,UTILITIES EXPENSE,54.99,3/17/22
Konecranes,MAINTENANCE & REPAIRS,5786.64,9/1/22
"ZIPCAR, INC.",EQUIPMENT RENTAL,2725.01,10/27/22
COZEN O'CONNOR,LEGAL COSTS,23364,6/30/22
"Christopher Glass Services, Inc",MAINTENANCE & REPAIRS,1343.2,9/27/22
JOSEPH RABI MD,ADMINISTRATION & HR,750,11/23/22
AMALGAMATED BANK OF CHICAGO,FINANCIAL & TREAS SVCS,817.19,2/10/22
"KATHLENE S HANHARDT, CSR",LEGAL COSTS,603.5,10/27/22
"*ALVAREZ, INC.",EQUIPMENT RENTAL,7563.96,12/20/22
"INTERSECTION MEDIA, LLC",ADVERTISING & PROMOTION,3600,4/26/22
CHICAGO TRIBUNE CO.,ADVERTISING & PROMOTION,618.45,12/1/22
"WISS, JANNEY, ELSTNER  ASSOCIATES, INC.",CONSULTING,1240,1/6/22
"CONCARE, INC.",MAINTENANCE & REPAIRS,12488.88,9/29/22
G.A.G. INDUSTRIES CORP.,MAINTENANCE & REPAIRS,62311.15,4/19/22
CROWNE PLAZA GREENVILLE,GENERAL EXPENSES,1076.4,1/25/22
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",MAINTENANCE & REPAIRS,4412,8/4/22
*CityEscape Garden & Design,MAINTENANCE & REPAIRS,3898.55,8/25/22
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,34617,6/23/22
AURIGA CORPORATION,GENERAL EXPENSES,33719.91,12/29/22
"THE MCS GROUP, INC.",ADMINISTRATION & HR,228.39,8/25/22
"*MULTILINGUAL CONNECTIONS, LLC",CONTRACTUAL SERVICES,352,3/10/22
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50,3/24/22
PITNEY BOWES GLOBAL MAILING SYSTEMS,CONTRACTUAL SERVICES,3924.78,2/17/22
"CONSTELLATION NEW ENERGY GAS DIVISION, LLC",UTILITIES EXPENSE,151142.34,6/7/22
OAK PARK POLICE DEPT,LEGAL COSTS,5,3/10/22
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,60,8/18/22
"CLERK , UNITED STATES COURT",ADMINISTRATION & HR,23.5,8/25/22
*MOBILE HEALTH & TESTING SERVICES,ADMINISTRATION & HR,60630,10/17/22
"WEST PUBLISHING CORPORATION d/b/a THOMSON WEST, WEST GROUP OR WEST",FINANCIAL & TREAS SVCS,8559.24,6/30/22
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,320.8,6/2/22
MHS REPORTING LTD,LEGAL COSTS,678.55,12/1/22
"SVANACO, INC.",TECHNOLOGY SERVICES,27975,8/30/22
SOCIETY OF AMERICAN ARCHIVISTS,GENERAL EXPENSES,250,12/1/22
G.A.G. INDUSTRIES CORP.,MAINTENANCE & REPAIRS,54161.29,7/28/22
"HERITAGE-CRYSTAL CLEAN, LLC",DIRECT PURCHASES,2931.6,9/13/22
"WISCO, INC.",MAINTENANCE & REPAIRS,2667.53,9/29/22
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,544418.85,8/4/22
Wensco,ADVERTISING & PROMOTION,13361.3,11/3/22
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,917092.57,1/10/22
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,39439.76,8/11/22
CLERK OF THE CIRCUIT COURT OF COOK COUNTY,LEGAL COSTS,12298,7/21/22
KONE SPARES,DIRECT PURCHASES,16837.18,12/8/22
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,53908,11/25/22
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,26892.35,7/21/22
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,221.25,2/10/22
"WISCO, INC.",MAINTENANCE & REPAIRS,1655.15,12/29/22
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,4830,4/26/22
"SUN TRAVEL, INC.",TRAVEL & MEETING EXPENSE,186,11/25/22
COZEN O'CONNOR PUBLIC STRATEGIES,CONTRACTUAL SERVICES,30000,9/22/22
"Christopher Glass Services, Inc",MAINTENANCE & REPAIRS,1437.5,6/30/22
BLAIDA AND ASSOCIATES LLC,CONTRACTUAL SERVICES,12000,1/3/22
GENUINE PARTS COMPANY (NAPA),CONSULTING,149054,5/3/22
Terrence J Schaffner,CONTRACTUAL SERVICES,7912.5,8/25/22
TRESCAL INC,MAINTENANCE & REPAIRS,168,12/20/22
GENUINE PARTS COMPANY (NAPA),MAINTENANCE & REPAIRS,1749.57,8/11/22
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,3228.3,11/10/22
CLAREMONT LLC,CONTRACTUAL SERVICES,7525,2/17/22
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,27802.07,11/29/22
"HIRERIGHT SOLUTIONS, INC.",ADMINISTRATION & HR,28603.19,12/22/22
"Atalian US Midwest, LLC",MAINTENANCE & REPAIRS,47118.08,2/3/22
"*ANCHOR STAFFING, INC.",TECHNOLOGY SERVICES,1613.36,10/6/22
CUMMINS INC.,MAINTENANCE & REPAIRS,1068.9,3/17/22
"WISCO, INC.",DIRECT PURCHASES,593.4,3/14/22
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CONTRACTUAL SERVICES,41631.47,6/16/22
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,2783.93,12/8/22
CITY OF HOMETOWN,GENERAL EXPENSES,200,3/17/22
"LANER, MUCHIN, DOMBROW, BECKER,",LEGAL COSTS,80,3/22/22
"OER SERVICES, LLC",EQUIPMENT RENTAL,1579,4/7/22
"WISCO, INC.",MAINTENANCE & REPAIRS,217.12,4/7/22
FUSION ENGINEERING LLC,CONTRACTUAL SERVICES,27516.5,3/31/22
PITNEY BOWES GLOBAL MAILING SYSTEMS,MAINTENANCE & REPAIRS,262.68,3/10/22
MP2 ENERGY NE LLC,UTILITIES EXPENSE,151731.58,4/5/22
MICHAEL BEST & FRIEDRICH-CHGO,LEGAL COSTS,4720.5,12/15/22
"MOBILE MINI, INC",EQUIPMENT RENTAL,990,7/14/22
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,355,6/7/22
"IMPERIAL CRANE SERVICES, INC.",EQUIPMENT RENTAL,11275,1/27/22
"LAW BULLETIN PUBLISHING CO, INC.",FINANCIAL & TREAS SVCS,10025,10/20/22
ILLINOIS TOLLWAY,GENERAL EXPENSES,40.9,4/4/22
CHICAGO COMPENSATION ASSOC.,GENERAL EXPENSES,95,1/6/22
ILLINOIS TOLLWAY,GENERAL EXPENSES,43.2,5/5/22
"J2 CLOUD SERVICES, LLC.",CONTRACTUAL SERVICES,149.5,1/20/22
"DATA TEC SYSTEMS, INC.",CONTRACTUAL SERVICES,1632,6/30/22
"STANTON MECHANICAL, INC.",MAINTENANCE & REPAIRS,3058,2/3/22
PRACTICAL AMERICAN SAFETY SOLUTIONS,TRAVEL & MEETING EXPENSE,1500,2/17/22
TRESCAL INC,MAINTENANCE & REPAIRS,896,9/22/22
"*MOTR GRAFX, LLC",ADVERTISING & PROMOTION,4161,10/27/22
Konecranes,MAINTENANCE & REPAIRS,4533.84,8/16/22
LORCHEM TECHNOLOGIES INC,MAINTENANCE & REPAIRS,1698.18,1/27/22
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50,11/17/22
VILLAGE OF SKOKIE.,UTILITIES EXPENSE,588.28,9/12/22
