VENDOR NAME,EXPENSE CATEGORY,PAYMENT AMOUNT,PAYMENT DATE
AN EXECUTIVE DECISION,GENERAL EXPENSES,1365.02,1/12/2023
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,17918.25,2/16/2023
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,1439.34,3/2/2023
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,12179.63,6/27/2023
"MYTHICS, INC.",MAINTENANCE & REPAIRS,76527.75,3/30/2023
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,619960.11,3/23/2023
VTECH SOLUTION INC,GENERAL EXPENSES,3440.23,4/6/2023
"WISCO, INC.",DIRECT PURCHASES,940.18,3/30/2023
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,24591.28,4/18/2023
PACER SERVICE CENTER,GENERAL EXPENSES,389.50,4/20/2023
LORCHEM TECHNOLOGIES INC,MAINTENANCE & REPAIRS,1490.75,4/25/2023
AMALGAMATED BANK OF CHICAGO.,FINANCIAL & TREAS SVCS,8198.95,5/4/2023
POINT OF DIFFERENCE STRATEGIES,CONTRACTUAL SERVICES,36000.00,11/2/2023
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,59293.00,10/24/2023
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,140.00,7/3/2023
GEORGE E RYDMAN & ASSOC. LTD,LEGAL COSTS,102.08,6/22/2023
EVERGREEN PARK RED LIGHT,GENERAL EXPENSES,100.00,9/21/2023
"JONES LANG LaSALLE, INCORPORATED",CONSULTING,135932.23,7/27/2023
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,48406.52,9/7/2023
Carahsoft Technology Corporation,TECHNOLOGY SERVICES,44768.89,9/7/2023
GENUINE PARTS COMPANY (NAPA),ADVERTISING & PROMOTION,2175.52,12/26/2023
VTECH SOLUTION INC,GENERAL EXPENSES,1660.00,1/19/2023
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",MAINTENANCE & REPAIRS,675.00,5/25/2023
*WAN Tech Inc,CONTRACTUAL SERVICES,1062.68,6/8/2023
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50.00,6/8/2023
*SOUTH SUBURBAN PEST CONTROL,MAINTENANCE & REPAIRS,6326.95,7/27/2023
NIKKI HALE CONSULTING INC,CONTRACTUAL SERVICES,11375.00,8/31/2023
LORCHEM TECHNOLOGIES INC,MAINTENANCE & REPAIRS,609.30,10/10/2023
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,193531.27,10/5/2023
"MIDWEST ENVIRONMENTAL SALES CO., INC.",DIRECT PURCHASES,15407.04,11/9/2023
"LUMINATOR TECHNOLOGY GROUP GLOBAL, LLC dba LUMINATOR TECHNOLOGY GROUP",FINANCIAL & TREAS SVCS,85465.20,10/19/2023
"AMERESCO, INC.",CONSULTING,17166.00,11/7/2023
"AT&T MOBILITY NATIONAL ACCOUNTS, LLC",UTILITIES EXPENSE,455.00,11/24/2023
"INTERSTATE POWER SYSTEMS, INC.",MAINTENANCE & REPAIRS,519.00,3/9/2023
"AMERESCO, INC.",CONSULTING,29460.00,3/14/2023
"West Publishing Corporation d/b/a Thomson Reuters - West or West, a Thomson Reuters Business or Thomson West or West Group",GENERAL EXPENSES,1357.40,3/30/2023
CUMMINS INC.,MAINTENANCE & REPAIRS,916.20,6/1/2023
CHICAGO TRIBUNE CO.,ADVERTISING & PROMOTION,454.16,5/25/2023
"VERIZON WIRELESS, INC.",UTILITIES EXPENSE,208445.80,5/18/2023
"HEYL, ROYSTER, VOELKER & ALLEN P.C.",LEGAL COSTS,598.00,8/17/2023
"MONTERREY SECURITY CONSULTANT, INC.",PURCHASE OF SECURITY SERVICES,37721.49,9/28/2023
CHICAGO POLICE DEPT.,LEGAL COSTS,25.00,11/30/2023
BRE RIVER NORTH POINT OWNER LLC,FACILITY RENTAL,122132.72,1/24/2023
"CROWE, LLP",FINANCIAL & TREAS SVCS,75000.00,4/27/2023
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50.00,5/25/2023
*WAN Tech Inc,CONTRACTUAL SERVICES,494.24,7/13/2023
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,1837.50,9/5/2023
CITY OF CHICAGO-DEPT OF FLEET AND FACILITY  MGMT,MAINTENANCE & REPAIRS,119034.13,10/5/2023
"*MULTILINGUAL CONNECTIONS, LLC",CONTRACTUAL SERVICES,610.00,10/10/2023
DIRECT ENERGY BUSINESS LLC,UTILITIES EXPENSE,17497.92,10/17/2023
MASTERGRAPHICS,ADVERTISING & PROMOTION,38041.00,12/7/2023
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,14671.00,12/14/2023
"BARLOW MECHANICAL SALES, INC.",DIRECT PURCHASES,7737.20,2/2/2023
"LAW BULLETIN PUBLISHING CO, INC.",FINANCIAL & TREAS SVCS,3775.00,2/22/2023
INTERNATIONAL ASSOC OF CHIEFS OF POLICE,GENERAL EXPENSES,290.00,4/6/2023
LATHROP GAGE LLP,LEGAL COSTS,305.00,5/25/2023
GENUINE PARTS COMPANY (NAPA),CONSULTING,152886.00,7/6/2023
GENUINE PARTS COMPANY (NAPA),ADVERTISING & PROMOTION,898.36,11/16/2023
DANIEL DODSON,LEGAL COSTS,75.00,7/6/2023
"COMET MESSENGER SERVICE, INC.",CONTRACTUAL SERVICES,108.83,8/10/2023
*MOBILE HEALTH & TESTING SERVICES,ADMINISTRATION & HR,68527.08,10/26/2023
JEREMY JOHNSON,LEGAL COSTS,75.00,12/14/2023
CITY OF CHICAGO-DEPT OF WATER,UTILITIES EXPENSE,9417.80,3/16/2023
PLANET DEPOS LLC,LEGAL COSTS,119.25,6/1/2023
CITY OF CHICAGO-DEPT OF WATER,UTILITIES EXPENSE,80833.66,6/15/2023
VILLAGE OF FOREST PARK (WATER ACCOUNT),UTILITIES EXPENSE,6001.96,12/21/2023
KONE SPARES,DIRECT PURCHASES,11354.56,1/12/2023
DAVIS BANCORP,FINANCIAL & TREAS SVCS,36340.04,1/5/2023
FRANK HELFRICH INC dba WELDING EQUIPMENT REPAIR SERVICE,MAINTENANCE & REPAIRS,2477.00,5/18/2023
"VULCAN CONSTRUCTION MATERIALS, LLC",DIRECT PURCHASES,6959.19,9/28/2023
SPECTRIO,CONTRACTUAL SERVICES,845.28,9/28/2023
VTECH SOLUTION INC,GENERAL EXPENSES,1940.00,1/26/2023
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,3320.00,3/30/2023
VINCENT MACK,LEGAL COSTS,150.00,7/20/2023
CDW GOVERNMENT LLC,TECHNOLOGY SERVICES,119.62,8/25/2023
SPECTRIO,CONTRACTUAL SERVICES,845.28,11/16/2023
VTECH SOLUTION INC,GENERAL EXPENSES,5511.07,2/9/2023
STAPLES ADVANTAGE,DIRECT PURCHASES,594.94,1/26/2023
AT & T CORP,UTILITIES EXPENSE,803950.87,2/9/2023
MEDICAL BUSINESS ASSOCIATES,CONTRACTUAL SERVICES,4504.29,3/30/2023
AURIGA CORPORATION,CONSULTING,43758.52,3/30/2023
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,154174.66,8/15/2023
EHC CANADA INC. d/b/a EHC GLOBAL,DIRECT PURCHASES,5550.00,5/25/2023
LORCHEM TECHNOLOGIES INC,MAINTENANCE & REPAIRS,2231.52,5/18/2023
ROSEMONT PUBLIC WORKS,UTILITIES EXPENSE,19.47,5/11/2023
ILLINOIS CPA SOCIETY,GENERAL EXPENSES,370.00,5/25/2023
CITY OF EVANSTON,UTILITIES EXPENSE,400.14,6/8/2023
JJC GROUP,ADVERTISING & PROMOTION,15579.00,7/6/2023
"WISCO, INC.",DIRECT PURCHASES,3877.28,6/27/2023
OAK PARK POLICE DEPT,LEGAL COSTS,5.00,7/27/2023
PACE SUBURBAN BUS SERVICE,DIRECT PURCHASES,19688.00,8/2/2023
"ULINE, INC.",DIRECT PURCHASES,5499.50,8/1/2023
LORCHEM TECHNOLOGIES INC,MAINTENANCE & REPAIRS,3625.08,8/25/2023
ERIN TINNON,LEGAL COSTS,40.00,8/10/2023
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,72556.61,9/7/2023
"WAREHOUSE DIRECT, INC.",MAINTENANCE & REPAIRS,264.05,10/26/2023
MP2 ENERGY NE LLC,UTILITIES EXPENSE,369082.73,11/7/2023
"GARDA CL GREAT LAKES, INC.",FINANCIAL & TREAS SVCS,18671.00,12/14/2023
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,250183.67,1/3/2023
"MARCO SUPPLY CO., INC.",DIRECT PURCHASES,7695.88,3/23/2023
WTS INTERNATIONAL,TRAVEL & MEETING EXPENSE,2656.00,5/4/2023
CDM SMITH INC.,CONTRACTUAL SERVICES,15291.75,6/15/2023
"MARCO SUPPLY CO., INC.",DIRECT PURCHASES,951.30,9/5/2023
"HADADY MACHINING CO., INC.",MAINTENANCE & REPAIRS,3540.00,9/26/2023
"SUN TRAVEL, INC.",TRAVEL & MEETING EXPENSE,445.00,9/26/2023
LEE N' EDDIES,TRAVEL & MEETING EXPENSE,6173.07,9/21/2023
CUMMINS INC.,MAINTENANCE & REPAIRS,1527.00,4/4/2023
TOWN OF CICERO,UTILITIES EXPENSE,211.62,5/25/2023
*Freddies Inc,GENERAL EXPENSES,1326.25,8/31/2023
COMMONWEALTH EDISON.,UTILITIES EXPENSE,8.65,9/21/2023
CHICAGO TRANSIT AUTHORITY,DIRECT PURCHASES,18000.00,10/17/2023
"*ANCHOR STAFFING, INC.",TECHNOLOGY SERVICES,1484.72,3/9/2023
"AT&T MOBILITY NATIONAL ACCOUNTS, LLC",UTILITIES EXPENSE,44393.98,3/9/2023
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,10509.74,5/11/2023
*SYNERGY DEVELOPMENT LIMITED,MAINTENANCE & REPAIRS,1700.00,5/4/2023
"HIRERIGHT SOLUTIONS, INC.",ADMINISTRATION & HR,29536.77,7/27/2023
COOK COUNTY SHERIFF DEPARTMENT,MAINTENANCE & REPAIRS,41509.31,6/29/2023
GENUINE PARTS COMPANY (NAPA),CONTRACTUAL SERVICES,2276.50,7/25/2023
AURIGA CORPORATION,CONSULTING,27047.94,8/24/2023
NOTARY PUBLIC ASSOCIATION,GENERAL EXPENSES,66.95,8/31/2023
DIRECT ENERGY BUSINESS LLC,UTILITIES EXPENSE,72917.59,12/12/2023
LOU MALNATI'S,GENERAL EXPENSES,1949.52,12/14/2023
PLANET DEPOS LLC,LEGAL COSTS,367.50,1/5/2023
"BLOOMBERG INDUSTRY GROUP, INC.",FINANCIAL & TREAS SVCS,18955.00,2/2/2023
"IMPERIAL CRANE SERVICES, INC.",EQUIPMENT RENTAL,2975.00,4/4/2023
TRESCAL INC,MAINTENANCE & REPAIRS,56.00,6/15/2023
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50.00,5/25/2023
XEROX CORPORATION /XEROX CTR,MAINTENANCE & REPAIRS,36911.97,11/30/2023
COMMONWEALTH EDISON.,UTILITIES EXPENSE,1350.54,1/10/2023
"IMPERIAL CRANE SERVICES, INC.",EQUIPMENT RENTAL,1800.00,6/27/2023
"VERTEX, INC.",MAINTENANCE & REPAIRS,29532.00,3/30/2023
CK REPORTING,LEGAL COSTS,799.05,7/13/2023
"TEXTMARKS, INC.",CONTRACTUAL SERVICES,16338.83,9/5/2023
GLORIA DUNNIGAN,LEGAL COSTS,150.00,8/17/2023
JAMIL SALMAN,GENERAL EXPENSES,750.00,11/22/2023
*CHICAGO PESTS LLC,MAINTENANCE & REPAIRS,960.00,1/26/2023
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,23864.62,5/18/2023
"*ALVAREZ, INC.",MAINTENANCE & REPAIRS,7547.96,2/21/2023
"THE MCS GROUP, INC.",ADMINISTRATION & HR,118.42,3/9/2023
VTECH SOLUTION INC,GENERAL EXPENSES,3600.00,3/23/2023
MARIA T ALBRIGHT M.D.,ADMINISTRATION & HR,750.00,3/16/2023
NORTHERN ILLINOIS GAS,UTILITIES EXPENSE,15518.29,3/23/2023
TOMPKINS PRINTING EQUIPMENT CO.,MAINTENANCE & REPAIRS,10340.00,5/17/2023
*SYNERGY DEVELOPMENT LIMITED,MAINTENANCE & REPAIRS,10200.00,5/11/2023
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,279531.46,5/9/2023
"*Supply Logistics & Procurement Services, LLC",DIRECT PURCHASES,477.02,8/21/2023
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,2240.00,6/8/2023
CUMMINS INC.,MAINTENANCE & REPAIRS,2305.77,6/27/2023
"*Agile N2N, Inc.",TECHNOLOGY SERVICES,34400.00,7/3/2023
"ACTION K-9 SECURITY, INC.",PURCHASE OF SECURITY SERVICES,684998.12,7/3/2023
PNC BANK,MAINTENANCE & REPAIRS,393.36,7/17/2023
"West Publishing Corporation d/b/a Thomson Reuters - West or West, a Thomson Reuters Business or Thomson West or West Group",FINANCIAL & TREAS SVCS,8678.24,8/31/2023
CHRISTINE F JUNG M.D.,ADMINISTRATION & HR,300.00,8/31/2023
"OCCUPATIONAL HEALTH CENTERS OF ILLINOIS, P.C.",ADMINISTRATION & HR,540.00,10/5/2023
XEROX CORPORATION /XEROX CTR,MAINTENANCE & REPAIRS,330.00,9/28/2023
"PROMPT ELECTRIC, INC.",MAINTENANCE & REPAIRS,8784.20,11/2/2023
"GARDA CL GREAT LAKES, INC.",FINANCIAL & TREAS SVCS,19293.18,12/28/2023
SALVATORE PRESCOTT & PORTER PLLC,LEGAL COSTS,3510.50,12/28/2023
"*ANCHOR STAFFING, INC.",TECHNOLOGY SERVICES,5863.84,3/2/2023
ZULKIE PARTNERS LLC,CONTRACTUAL SERVICES,750.00,5/9/2023
"TRAPEZE SOFTWARE GROUP, INC",MAINTENANCE & REPAIRS,105867.00,5/25/2023
Wensco,ADVERTISING & PROMOTION,1256.10,6/8/2023
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50.00,6/8/2023
EVERGREEN PARK RED LIGHT,GENERAL EXPENSES,200.00,7/13/2023
"DELIVRA, INC",TECHNOLOGY SERVICES,1041.00,9/7/2023
LESTER & ROSALIE ANIXTER CENTER,GENERAL EXPENSES,1184.00,9/28/2023
"OER SERVICES, LLC",EQUIPMENT RENTAL,160.70,11/14/2023
"SPECIALTY CONSULTING, INC.",CONTRACTUAL SERVICES,5362.00,11/30/2023
"VERITEXT, LLC",LEGAL COSTS,538.90,1/5/2023
*CONSOLIDATED PRINTING,DIRECT PURCHASES,1361.00,2/16/2023
"CONCARE, INC.",MAINTENANCE & REPAIRS,26226.64,3/2/2023
CUMMINS INC.,MAINTENANCE & REPAIRS,916.20,4/20/2023
JOHNSON CONTROLS FIRE PROTECTION LP,MAINTENANCE & REPAIRS,1108.00,6/1/2023
"AMERICAN BUILDING SERVICES, LLC (M-D BUILDING MATERIALS)",DIRECT PURCHASES,20028.28,8/1/2023
G.A.G. INDUSTRIES CORP.,MAINTENANCE & REPAIRS,53273.17,7/25/2023
"THOMPSON COBURN, LLC",LEGAL COSTS,25340.50,8/22/2023
"JONES LANG LaSALLE, INCORPORATED",CONSULTING,6960.31,9/21/2023
"*M & M STAFFING AGENCY, LLC",CONSULTING,1472.75,10/5/2023
"CUBIC TRANSPORTATION SYSTEMS, INC.",CONTRACTUAL SERVICES,736995.11,11/2/2023
"WAREHOUSE DIRECT, INC.",MAINTENANCE & REPAIRS,330.75,12/14/2023
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50.00,4/20/2023
*SYNERGY DEVELOPMENT LIMITED,MAINTENANCE & REPAIRS,1700.00,5/9/2023
"QUANTUM CROSSINGS, LLC",FINANCIAL & TREAS SVCS,247447.39,9/12/2023
CHICAGO POLICE DEPARTMENT  (1),LEGAL COSTS,25.00,12/28/2023
"LUMINATOR TECHNOLOGY GROUP, INC.",FINANCIAL & TREAS SVCS,87639.20,2/23/2023
POSTAL PARTNERS,GENERAL EXPENSES,272.57,2/16/2023
AT & T CORP,UTILITIES EXPENSE,275829.50,2/23/2023
AMALGAMATED BANK OF CHICAGO,FINANCIAL & TREAS SVCS,646.50,5/25/2023
*SOUTH SUBURBAN PEST CONTROL,MAINTENANCE & REPAIRS,9302.00,10/17/2023
BERWYN POLICE DEPARTMENT,LEGAL COSTS,10.00,1/12/2023
ARC IMAGING RESOURCES,MAINTENANCE & REPAIRS,709.80,4/27/2023
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,1397.93,8/24/2023
"OER SERVICES, LLC",MAINTENANCE & REPAIRS,1792.00,8/17/2023
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,2861.42,12/21/2023
ARMA INTERNATIONAL,GENERAL EXPENSES,225.00,3/9/2023
"GLOBAL FINISHING SOLUTIONS, LLC",MAINTENANCE & REPAIRS,4700.00,5/4/2023
PLANET DEPOS LLC,LEGAL COSTS,350.00,4/20/2023
"STANTON MECHANICAL, INC.",MAINTENANCE & REPAIRS,1023.00,5/11/2023
"COMET MESSENGER SERVICE, INC.",GENERAL EXPENSES,1034.65,5/25/2023
"*MULTILINGUAL CONNECTIONS, LLC",CONTRACTUAL SERVICES,72.24,6/8/2023
DAVID WISE,CONTRACTUAL SERVICES,10240.00,9/5/2023
Carahsoft Technology Corporation,ADVERTISING & PROMOTION,15551.15,9/21/2023
A.R.D.C.,GENERAL EXPENSES,385.00,12/14/2023
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,1340.00,7/27/2023
TEXTNET DIGITAL COURT REPORTING,LEGAL COSTS,1456.90,8/10/2023
"OVERTURE, LLC",GENERAL EXPENSES,9100.00,10/3/2023
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,27240.83,1/3/2023
TRADEBE TREATMENT & RECYCLING LLC,MAINTENANCE & REPAIRS,1125.26,1/5/2023
"GARDA CL GREAT LAKES, INC.",FINANCIAL & TREAS SVCS,4237.00,1/3/2023
G & O THERMAL SUPPLY COMPANY,DIRECT PURCHASES,802.42,2/1/2023
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,10035.06,3/16/2023
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,948.25,3/30/2023
VTECH SOLUTION INC,GENERAL EXPENSES,1940.00,5/4/2023
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,3340.56,5/23/2023
"MARCO SUPPLY CO., INC.",DIRECT PURCHASES,20794.74,5/11/2023
SERVICE SANITATION INC,MAINTENANCE & REPAIRS,24580.00,5/30/2023
"*Supply Logistics & Procurement Services, LLC",DIRECT PURCHASES,944.04,7/13/2023
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,606684.14,6/22/2023
GENUINE PARTS COMPANY (NAPA),MAINTENANCE & REPAIRS,74.76,7/18/2023
ALSCO Inc.,GENERAL EXPENSES,112.20,8/10/2023
TOMPKINS PRINTING EQUIPMENT CO.,MAINTENANCE & REPAIRS,3150.05,8/16/2023
BLAZEN ILLUMINATIONS LLC,CONTRACTUAL SERVICES,6000.00,9/19/2023
JOHNSON CONTROLS FIRE PROTECTION LP,MAINTENANCE & REPAIRS,11187.00,11/7/2023
CK REPORTING,LEGAL COSTS,430.70,11/9/2023
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,49978.00,12/19/2023
PNC BANK,MAINTENANCE & REPAIRS,49.02,1/17/2023
"AT&T MOBILITY NATIONAL ACCOUNTS, LLC",UTILITIES EXPENSE,455.00,3/28/2023
"MIDWEST ENVIRONMENTAL SALES CO., INC.",DIRECT PURCHASES,2838.65,4/6/2023
"WISCO, INC.",MAINTENANCE & REPAIRS,1107.29,5/11/2023
VERONICA ROCHA,LEGAL COSTS,75.00,5/18/2023
STENSTROM PROTANIC LLC.,MAINTENANCE & REPAIRS,5324.35,7/6/2023
*CONSOLIDATED PRINTING,ADVERTISING & PROMOTION,1211.32,8/4/2023
CHICAGO SUN TIMES MEDIA INC,ADVERTISING & PROMOTION,312.00,11/2/2023
KRISHNA CHUNDURI M.D.,ADMINISTRATION & HR,1125.00,11/16/2023
"HIRERIGHT SOLUTIONS, INC.",ADMINISTRATION & HR,33989.12,12/5/2023
GENUINE PARTS COMPANY (NAPA),MAINTENANCE & REPAIRS,29713.95,12/12/2023
GENUINE PARTS COMPANY (NAPA),CONTRACTUAL SERVICES,23256.35,2/15/2023
"GUARDIAN INDUSTRIAL SUPPLY, LLC",DIRECT PURCHASES,432.00,4/13/2023
ILLINOIS MINORITY BUSINESS DEVELOPMENT AGENCY,ADVERTISING & PROMOTION,1000.00,3/16/2023
"OER SERVICES, LLC",EQUIPMENT RENTAL,1428.56,5/25/2023
"OCCUPATIONAL HEALTH CENTERS OF ILLINOIS, P.C.",ADMINISTRATION & HR,17598.00,5/25/2023
Wensco,DIRECT PURCHASES,5316.00,7/13/2023
*NAK-MAN CORPORATION,DIRECT PURCHASES,428.57,7/25/2023
"DATA WEIGHING SYSTEMS, INC.",MAINTENANCE & REPAIRS,340.00,8/15/2023
CHICAGO SPORTS & SPINE,ADMINISTRATION & HR,187.50,8/17/2023
TRADEBE TREATMENT & RECYCLING LLC,MAINTENANCE & REPAIRS,435.00,11/16/2023
MP2 ENERGY NE LLC,UTILITIES EXPENSE,276334.03,11/9/2023
*Freddies Inc,GENERAL EXPENSES,364.50,11/30/2023
"ULTRA-TECH ENTERPRISES, INC.",MAINTENANCE & REPAIRS,900.00,12/7/2023
"UNIVISION RECEIVABLES CO., LLC",ADVERTISING & PROMOTION,1525.00,8/2/2023
"AMERICAN BUILDING SERVICES, LLC (M-D BUILDING MATERIALS)",DIRECT PURCHASES,3072.00,1/26/2023
"RAILROAD MANAGEMENT COMPANY III, LLC",EQUIPMENT RENTAL,344.67,4/13/2023
"GUARDIAN INDUSTRIAL SUPPLY, LLC",DIRECT PURCHASES,573.00,3/9/2023
FRIEND FAMILY HELATH CENTER,ADMINISTRATION & HR,400.00,6/1/2023
EQUIFAX WORKFORCE SOLUTIONS LLC,CONTRACTUAL SERVICES,300.00,8/31/2023
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50.00,11/30/2023
CK REPORTING,LEGAL COSTS,614.45,1/5/2023
RUSSELL R. ROGERS,CONTRACTUAL SERVICES,11250.00,3/30/2023
*CHICAGO PESTS LLC,MAINTENANCE & REPAIRS,176.00,6/29/2023
PEOPLES GAS,UTILITIES EXPENSE,48908.43,7/3/2023
"GARDA CL GREAT LAKES, INC.",FINANCIAL & TREAS SVCS,19168.75,9/28/2023
PNC BANK,TECHNOLOGY SERVICES,1437.07,9/15/2023
SIEVERT ELECTRIC SERVICE & SALES,MAINTENANCE & REPAIRS,28500.65,11/16/2023
"BUCHANAN REPORTING, INC",LEGAL COSTS,184.00,12/7/2023
"STANTON MECHANICAL, INC.",MAINTENANCE & REPAIRS,30495.00,3/30/2023
ANDERSON ELEVATOR CO.,MAINTENANCE & REPAIRS,415762.25,11/2/2023
Carahsoft Technology Corporation,TECHNOLOGY SERVICES,1457.35,10/31/2023
LATHROP GAGE LLP,LEGAL COSTS,213.50,2/9/2023
"DATA WEIGHING SYSTEMS, INC.",MAINTENANCE & REPAIRS,412.00,5/18/2023
GENUINE PARTS COMPANY (NAPA),CONSULTING,152886.00,6/1/2023
AMALGAMATED BANK OF CHICAGO.,FINANCIAL & TREAS SVCS,42752.23,5/23/2023
NSH USA CORPORATION,DIRECT PURCHASES,1650.00,9/26/2023
"THOMPSON COBURN, LLC",LEGAL COSTS,14779.50,8/1/2023
*CONSOLIDATED PRINTING,ADVERTISING & PROMOTION,1033.00,8/10/2023
JOSEPH RABI MD,ADMINISTRATION & HR,800.00,9/21/2023
"MONTERREY SECURITY CONSULTANT, INC.",PURCHASE OF SECURITY SERVICES,367158.25,3/2/2023
VILLAGE OF ROSEMONT,UTILITIES EXPENSE,17.70,3/16/2023
FLOYD FULTON,LEGAL COSTS,150.00,4/6/2023
"CROWE, LLP",FINANCIAL & TREAS SVCS,50000.00,6/15/2023
"HIRERIGHT SOLUTIONS, INC.",ADMINISTRATION & HR,9957.25,6/22/2023
"CLEVER DEVICES, LTD",MAINTENANCE & REPAIRS,421837.66,8/17/2023
"GARDA CL GREAT LAKES, INC.",FINANCIAL & TREAS SVCS,497.75,9/5/2023
INSIGHT PUBLIC SECTOR,TECHNOLOGY SERVICES,1413.00,10/19/2023
ROYAL REPORTING SERVICES,LEGAL COSTS,262.70,1/12/2023
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,2959.39,1/17/2023
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,39267.32,4/11/2023
TRADEBE TREATMENT & RECYCLING LLC,MAINTENANCE & REPAIRS,39169.17,1/26/2023
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,70036.53,1/31/2023
RUSSELL R. ROGERS,CONTRACTUAL SERVICES,11250.00,3/2/2023
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,738405.77,3/2/2023
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,934.65,3/16/2023
PNC BANK,MAINTENANCE & REPAIRS,328.70,2/16/2023
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,181690.79,6/29/2023
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,200.00,3/30/2023
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,22609.85,5/2/2023
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,15692.16,8/29/2023
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,1336.25,5/18/2023
"OER SERVICES, LLC",EQUIPMENT RENTAL,4927.68,5/4/2023
"D.M.G. SECURITY, INC.",FINANCIAL & TREAS SVCS,57970.87,6/6/2023
"*Supply Logistics & Procurement Services, LLC",MAINTENANCE & REPAIRS,371.27,9/14/2023
"*ANDERSON & SHAH ROOFING, INC.",MAINTENANCE & REPAIRS,18904.60,9/12/2023
CECILIA BEAVEN,CONTRACTUAL SERVICES,1000.00,7/6/2023
DAVID WISE,CONTRACTUAL SERVICES,13440.00,7/27/2023
ALSCO Inc.,GENERAL EXPENSES,140.25,7/20/2023
"HERITAGE-CRYSTAL CLEAN, LLC",DIRECT PURCHASES,2094.00,7/18/2023
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,187974.60,11/28/2023
VILLAGE OF SKOKIE.,UTILITIES EXPENSE,634.04,8/31/2023
"WISCO, INC.",DIRECT PURCHASES,2402.44,10/17/2023
EVERGREEN PARK RED LIGHT,GENERAL EXPENSES,100.00,10/12/2023
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,16748.03,12/12/2023
BARCODES INC,DIRECT PURCHASES,11235.00,1/4/2023
LORCHEM TECHNOLOGIES INC,MAINTENANCE & REPAIRS,1167.96,1/5/2023
"AMERICAN BUILDING SERVICES, LLC (M-D BUILDING MATERIALS)",DIRECT PURCHASES,1137.50,3/2/2023
"VERIZON WIRELESS, INC.",UTILITIES EXPENSE,466879.69,1/26/2023
COOK COUNTY SHERIFF DEPARTMENT,MAINTENANCE & REPAIRS,40386.96,2/16/2023
"JONES LANG LaSALLE, INCORPORATED",CONSULTING,3920.40,4/11/2023
VTECH SOLUTION INC,CONTRACTUAL SERVICES,1440.00,5/25/2023
SERVICE SANITATION INC,MAINTENANCE & REPAIRS,437.45,6/8/2023
